date,open,high,low,close,volume
1640995200000,3677.9,3706,3677.8,3694.6,41411397.4785
1640996100000,3694.5,3700.5,3687,3699,8794167.1855
1640997000000,3699,3718.3,3696.3,3714.9,16086454.8657
1640997900000,3714.9,3730.8,3711.8,3723.7,19038722.6513
1640998800000,3723.7,3727.9,3715.5,3727.6,15569065.9967
1640999700000,3727.6,3748.8,3726.7,3738.5,19109091.3467
1641000600000,3738.5,3742.5,3732.8,3733.7,15786125.1862
1641001500000,3733.7,3733.9,3723,3725.2,7789486.0813
1641002400000,3725.2,3730.3,3722.5,3726.7,8023599.0561
1641003300000,3726.7,3737.1,3726.2,3728.6,9918156.6469
1641004200000,3728.6,3729.6,3722,3728.7,5862517.9571
1641005100000,3729,3735.7,3726.5,3728.4,13933816.6278
1641006000000,3728.4,3729.7,3722.3,3728.6,5080508.5372
1641006900000,3728.6,3735.9,3726,3728.6,7160812.2495
1641007800000,3728.6,3732.2,3727.1,3730.9,1967836.9844
1641008700000,3730.9,3731.2,3722.6,3723.6,2569592.11
1641009600000,3723.6,3727.6,3710.9,3713.6,5892175.1133
1641010500000,3713.6,3720,3712.6,3716.8,9049650.8568
1641011400000,3716.8,3718.2,3711,3715.9,5434092.6425
1641012300000,3715.9,3723.4,3707.8,3709.2,11146379.9175
1641013200000,3709.2,3715.6,3704.3,3715.6,6038509.4261
1641014100000,3715.6,3759.8,3712.7,3751.7,26409611.6
1641015000000,3751.7,3766.1,3745,3745.4,10033816.3105
1641015900000,3745.4,3745.4,3730.3,3736.8,8788162.4572
1641016800000,3736.8,3744.6,3729.4,3743,6723893.8252
1641017700000,3743,3743,3727.2,3728.6,5479316.1334
1641018600000,3728.6,3732.2,3723.6,3725,3198315.9022
1641019500000,3725,3728.9,3709.3,3713.1,7916541.5459
1641020400000,3713.1,3714.7,3702.5,3709.3,11977333.5263
1641021300000,3709.3,3716.4,3707.8,3709.3,5125553.6776
1641022200000,3709.3,3722.3,3702.6,3722.3,15131780.1062
1641023100000,3722.3,3727,3710,3715.5,17223091.3992
1641024000000,3715.5,3718.7,3709.4,3717.1,8495820.4426
1641024900000,3717.1,3725.9,3716.2,3721.9,5208169.5246
1641025800000,3721.9,3724.8,3716.6,3723,4427168.0988
1641026700000,3723,3734.3,3720.9,3722.4,6309603.5463
1641027600000,3722.4,3729.9,3716.9,3729.7,5075240.5587
1641028500000,3729.7,3729.7,3721,3722.9,3033623.008
1641029400000,3722.9,3726.5,3710,3714.5,8122537.8797
1641030300000,3714.5,3720.1,3711.1,3718.2,5508800.8981
1641031200000,3718.2,3732.7,3717.8,3720.2,14235354.8303
1641032100000,3720.2,3720.5,3688.1,3691.6,30338924.579
1641033000000,3691.6,3700,3675.5,3698.9,33391582.5809
1641033900000,3698.9,3707.7,3690.5,3692.3,25641597.5006
1641034800000,3692.3,3704.1,3691.5,3702.7,12695634.0319
1641035700000,3702.7,3714,3702.6,3708.1,14477431.9067
1641036600000,3708.1,3710.5,3698.6,3706,7164619.6224
1641037500000,3706,3709.4,3691.2,3693.5,16853180.9107
1641038400000,3693.5,3708.5,3693.1,3708.5,5496572.5633
1641039300000,3708.5,3710.1,3698.1,3701.6,2486420.9436
1641040200000,3701.6,3716,3701.5,3706.9,7325964.9365
1641041100000,3706.9,3719.3,3706.9,3717.5,10339325.9548
1641042000000,3717.5,3725.8,3711.3,3720.5,7893210.7324
1641042900000,3720.5,3722.8,3710,3715.5,11269961.8168
1641043800000,3715.5,3722,3709.5,3720.7,4850035.527
1641044700000,3720.7,3720.7,3707,3709.9,7308443.6091
1641045600000,3709.9,3712.7,3705.5,3707.3,3904720.5473
1641046500000,3707.3,3713.6,3705.6,3711.1,9510265.2303
1641047400000,3711.2,3712,3692.7,3702.3,15083146.7376
1641048300000,3702.3,3705.6,3696,3696.1,14747001.7309
1641049200000,3696.1,3709.6,3692.1,3705.8,6310314.0797
1641050100000,3705.8,3714.3,3703.6,3713.3,4878687.4287
1641051000000,3713.3,3745.7,3712.7,3734.6,23919262.2692
1641051900000,3734.6,3742.9,3718,3725.3,11421026.1157
1641052800000,3725.3,3743.5,3718.4,3737.7,14022646.6195
1641053700000,3737.7,3750.6,3730.9,3745.6,10518560.4968
1641054600000,3745.6,3747.6,3736.2,3740.6,7953840.6649
1641055500000,3740.6,3744.6,3725.3,3727.4,8069861.6001
1641056400000,3727.4,3735.7,3727.4,3729.2,6723934.1636
1641057300000,3729.2,3736.5,3728.3,3734.9,3601480.9091
1641058200000,3734.9,3763,3734.4,3758.6,17132522.4552
1641059100000,3759.1,3764.5,3749.8,3760.6,13385400.5488
1641060000000,3760.6,3766,3751,3754.5,11336348.8887
1641060900000,3754.5,3757.5,3744.5,3749.5,8720441.1985
1641061800000,3749.5,3751.3,3740.1,3745.2,12414201.9436
1641062700000,3745.2,3757.6,3741.6,3752.7,5721099.1685
1641063600000,3752.7,3755.8,3745.2,3749.3,11384522.5498
1641064500000,3749.3,3749.3,3735.8,3744.2,6826790.1476
1641065400000,3744.2,3745.9,3735,3738,7391221.4249
1641066300000,3738,3749.1,3736.5,3747.7,4257057.0157
1641067200000,3747.7,3749.2,3741.7,3746.5,6894509.8721
1641068100000,3746.3,3752.9,3740.4,3752.8,5144700.3955
1641069000000,3752.8,3777.1,3751.2,3761.7,21082585.0568
1641069900000,3761.7,3767.3,3756,3761.7,9385560.8275
1641070800000,3761.7,3776,3761.6,3773.8,11914048.8837
1641071700000,3773.8,3777,3761.3,3762.7,10277219.4728
1641072600000,3762.6,3768.6,3760,3765.2,5663195.392
1641073500000,3765.4,3765.9,3746.4,3749.1,5987688.2093
1641074400000,3749.1,3751.1,3740,3742.7,9136961.1095
1641075300000,3742.7,3756.4,3742.7,3755.2,6271994.7125
1641076200000,3755.2,3763.9,3755.2,3760.5,3173595.6787
1641077100000,3760.5,3764.2,3753,3757.8,9088991.6888
1641078000000,3757.8,3759,3744,3747.8,19632202.3879
1641078900000,3747.8,3759.1,3746.1,3756.3,15851240.1661
1641079800000,3756.3,3764,3750.6,3759.7,6637135.7784
1641080700000,3759.7,3775.6,3759.3,3766.1,14429769.1549
1641081600000,3766.1,3771.2,3754.3,3758.4,21141246.0914
1641082500000,3758.4,3764.9,3751,3763.4,8353587.2324
1641083400000,3763.4,3771.8,3761.2,3764.4,8350220.14
1641084300000,3764.4,3768,3759.2,3763.3,4851210.1588
1641085200000,3763.3,3764.5,3749.9,3751.1,7218317.3153
1641086100000,3751.1,3757.9,3749.3,3754.4,6953212.3042
1641087000000,3754.4,3757.8,3742.6,3748.6,6538772.4806
1641087900000,3748.6,3750.9,3742.9,3747.7,5524030.9146
1641088800000,3747.7,3752.7,3744.5,3751.7,6206095.8014
1641089700000,3751.7,3754.6,3743,3744.4,6628408.7822
1641090600000,3744.4,3754.8,3743.6,3748.5,8625259.258
1641091500000,3748.5,3749.8,3746.3,3748,2685045.9119
1641092400000,3748,3754.1,3746.8,3747.7,3080040.732
1641093300000,3747.7,3754.2,3745,3754.2,5187996.4524
1641094200000,3754.2,3762.1,3752.3,3753.3,7200381.3336
1641095100000,3753.3,3760,3746.8,3759.3,5560019.5579
1641096000000,3759.3,3762.4,3757.2,3758.5,4993371.4362
1641096900000,3758.5,3758.5,3749.5,3752,9785952.041
1641097800000,3752,3758.3,3742.1,3743,9399802.5786
1641098700000,3743,3743.1,3717.6,3724.2,28080085.0469
1641099600000,3724.2,3733.1,3720.5,3724.1,7339801.7431
1641100500000,3724.2,3733.6,3724.1,3730.5,6892939.6323
1641101400000,3730.5,3740.1,3729.9,3734.5,10984626.3965
1641102300000,3734.5,3745.6,3729,3744.3,8260634.0823
1641103200000,3744.3,3747.9,3742.5,3743,10217098.2943
1641104100000,3743,3749.8,3742.9,3743.2,4028773.7692
1641105000000,3743.2,3750.7,3741.2,3746.1,5243928.869
1641105900000,3746.1,3750.5,3737.8,3738.9,3507831.4123
1641106800000,3738.9,3742.3,3734.2,3737.8,3965624.6307
1641107700000,3737.8,3744.9,3737.8,3742.4,2021826.2616
1641108600000,3742.4,3753.9,3742.4,3744.9,10406465.5305
1641109500000,3744.9,3749.6,3738.4,3749.5,6253598.5735
1641110400000,3749.5,3751.4,3734,3737.1,9825550.7106
1641111300000,3737.1,3746.6,3737.1,3741.6,5276715.6113
1641112200000,3741.6,3744.3,3737.2,3742.1,2149357.4176
1641113100000,3742,3746.9,3741.4,3744.7,4129849.8133
1641114000000,3744.7,3745.6,3738.8,3744.9,6296117.8305
1641114900000,3744.9,3772.6,3741.8,3758.1,19645526.7998
1641115800000,3759.1,3764.1,3757,3761.7,5617987.5839
1641116700000,3761.7,3761.7,3753.7,3755.3,3910836.1314
1641117600000,3755.3,3759.7,3752.9,3759.7,9864578.5541
1641118500000,3759.7,3759.7,3748.6,3749.6,6196491.3684
1641119400000,3749.6,3752.3,3743.3,3746.5,5043909.6625
1641120300000,3746.5,3747.3,3740.5,3743.6,4444911.6372
1641121200000,3743.6,3751.4,3742.2,3748.1,7131447.2577
1641122100000,3748.1,3753.2,3747.4,3751.4,3903684.0806
1641123000000,3751.4,3757.7,3746.7,3746.7,6162489.4527
1641123900000,3746.7,3747.2,3742.3,3744.3,3782342.8646
1641124800000,3744.3,3744.8,3730.9,3736.5,13379967.1684
1641125700000,3736.5,3744.7,3734.1,3743.4,5831657.8033
1641126600000,3743.4,3760.3,3742.5,3751.6,12605348.8694
1641127500000,3751.6,3758.8,3751.6,3754.9,8305874.7527
1641128400000,3754.9,3757.4,3746.6,3746.6,9735542.123
1641129300000,3746.6,3755.4,3742.5,3755.3,7688227.642
1641130200000,3755.3,3755.3,3746.9,3749.9,2677591.0972
1641131100000,3749.9,3751.1,3740.9,3745.8,8953715.3582
1641132000000,3745.8,3754.5,3744.2,3753.5,6012166.2469
1641132900000,3753.5,3757,3744.3,3747.6,7673003.0831
1641133800000,3747.6,3757.3,3747.3,3753.6,4696830.0075
1641134700000,3753.6,3757.6,3750.7,3753,4248983.2208
1641135600000,3753,3769.7,3753,3769.2,16939705.7629
1641136500000,3769.2,3771.2,3762.9,3763.4,17090450.7576
1641137400000,3763.4,3771.5,3760,3771,13073914.2825
1641138300000,3771,3790,3771,3778.9,30506685.2409
1641139200000,3778.9,3795.5,3778.4,3792.3,25629562.064
1641140100000,3792.3,3795.3,3786.4,3787.1,8956063.3442
1641141000000,3787.1,3801.1,3784.8,3798,19638729.9663
1641141900000,3798,3859.9,3798,3841.6,86576570.5413
1641142800000,3841.6,3862.5,3821,3823.6,61105283.0364
1641143700000,3823.6,3830.5,3813,3826.3,28999611.2741
1641144600000,3826.3,3833.4,3820,3832.3,12482291.4582
1641145500000,3832.3,3835.3,3818,3826,13276125.9357
1641146400000,3825.8,3826.4,3817.4,3817.4,11680433.0214
